period,rank,feature,importance,cindex
original,1,weight_txpl,14.421202727095599,0.8721147068611173
original,2,bmi_txpl,13.758453797878264,0.8721147068611173
original,3,egfr_tx,12.690810564796745,0.8721147068611173
original,4,txbun_r,12.307799680965827,0.8721147068611173
original,5,txalt,11.573796657934896,0.8721147068611173
original,6,txsa_r,9.253819812926036,0.8721147068611173
original,7,txpl_year,8.36709874411652,0.8721147068611173
original,8,listing_year,6.78033162756579,0.8721147068611173
original,9,pra_listing,4.218301841813355,0.8721147068611173
original,10,hxsurg,2.3801351983193695,0.8721147068611173
original,11,hxmed,2.0414687925299098,0.8721147068611173
original,12,chd_sv,1.0741955641262992,0.8721147068611173
original,13,txecmo,0.6287503458340497,0.8721147068611173
original,14,prim_dx,0.5038346440972872,0.8721147068611173
original,15,tx_mcsd,0,0.8721147068611173
full,1,weight_txpl,13.218871043591069,0.7951630656263563
full,2,bmi_txpl,13.185887878824683,0.7951630656263563
full,3,txpl_year,12.080711129936722,0.7951630656263563
full,4,egfr_tx,11.190094762930306,0.7951630656263563
full,5,txbun_r,10.92928104242002,0.7951630656263563
full,6,listing_year,10.543943832981483,0.7951630656263563
full,7,txalt,10.418973757301659,0.7951630656263563
full,8,txsa_r,7.983803005720898,0.7951630656263563
full,9,pra_listing,3.7061937757723427,0.7951630656263563
full,10,hxmed,1.972127423835394,0.7951630656263563
full,11,prim_dx,1.900924498788348,0.7951630656263563
full,12,hxsurg,1.581332189748752,0.7951630656263563
full,13,chd_sv,0.7371855559750988,0.7951630656263563
full,14,txecmo,0.5506701021732532,0.7951630656263563
full,15,tx_mcsd,0,0.7951630656263563
full_no_covid,1,weight_txpl,14.208332217475178,0.8602871570680293
full_no_covid,2,bmi_txpl,13.999976467957932,0.8602871570680293
full_no_covid,3,egfr_tx,12.23498283244838,0.8602871570680293
full_no_covid,4,txalt,11.671047125269029,0.8602871570680293
full_no_covid,5,txbun_r,11.513471869934728,0.8602871570680293
full_no_covid,6,txsa_r,9.296730223220132,0.8602871570680293
full_no_covid,7,listing_year,8.405552271107386,0.8602871570680293
full_no_covid,8,txpl_year,8.250685819829442,0.8602871570680293
full_no_covid,9,pra_listing,4.187728078604947,0.8602871570680293
full_no_covid,10,hxsurg,2.1026109647127815,0.8602871570680293
full_no_covid,11,hxmed,1.9575750760602328,0.8602871570680293
full_no_covid,12,chd_sv,0.9620316507882628,0.8602871570680293
full_no_covid,13,prim_dx,0.6345900120784462,0.8602871570680293
full_no_covid,14,txecmo,0.5746853905131237,0.8602871570680293
full_no_covid,15,tx_mcsd,0,0.8602871570680293
