feature,importance,cindex
weight_txpl,14.421202727095599,0.8721147068611173
bmi_txpl,13.758453797878264,0.8721147068611173
egfr_tx,12.690810564796745,0.8721147068611173
txbun_r,12.307799680965827,0.8721147068611173
txalt,11.573796657934896,0.8721147068611173
txsa_r,9.253819812926036,0.8721147068611173
txpl_year,8.36709874411652,0.8721147068611173
listing_year,6.78033162756579,0.8721147068611173
pra_listing,4.218301841813355,0.8721147068611173
hxsurg,2.3801351983193695,0.8721147068611173
hxmed,2.0414687925299098,0.8721147068611173
chd_sv,1.0741955641262992,0.8721147068611173
txecmo,0.6287503458340497,0.8721147068611173
prim_dx,0.5038346440972872,0.8721147068611173
tx_mcsd,0,0.8721147068611173
