rank,original,full,full_no_covid
1,dlist,dlist,dlist
2,cpbypass,cpbypass,cpbypass
3,prim_dx,prim_dx,prim_dx
4,txecmo,sec_dx,txecmo
5,sec_dx,txecmo,sec_dx
6,hxsurg,prm_list,lsbaosat
7,lsfprab,lsbaosat,donor_age
8,lsbaosat,hxsurg,hxsurg
9,txpl_year,txbun_r,rec_t3
10,height_donor,txtdsxm,prm_list
11,rec_t3,lsfprat,txtdsxm
12,race,lbun_r,txbdsxn
13,chd_hlh,chd_hlh,lsfprab
14,ter_dx,txtcdc,txbun_r
15,donor_age,pra_listing,listing_year
16,txbun_r,txbaosat,lsfprat
17,txtdsxm,txbcdc,txbaosat
18,lbun_r,rec_t3,txpl_year
19,pra_listing,weight_txpl,lbun_r
20,txbdsxn,listing_year,rrace_b
